age,qx,lx
0,0.0053380000,100000.0000000000
1,0.0004031000,99466.2000000000
2,0.0003703000,99426.1050000000
3,0.0003436000,99389.2880000000
4,0.0003234000,99355.1380000000
5,0.0003107000,99323.0060000000
6,0.0003068000,99292.1460000000
7,0.0003132000,99261.6840000000
8,0.0003315000,99230.5950000000
9,0.0003629000,99197.7000000000
10,0.0004079000,99161.7010000000
11,0.0004655000,99121.2530000000
12,0.0005335000,99075.1120000000
13,0.0006086000,99022.2550000000
14,0.0006859000,98961.9910000000
15,0.0007597000,98894.1120000000
16,0.0008240000,98818.9830000000
17,0.0008728000,98737.5560000000
18,0.0009012000,98651.3780000000
19,0.0009059000,98562.4730000000
20,0.0008864000,98473.1850000000
21,0.0008455000,98385.8990000000
22,0.0007889000,98302.7130000000
23,0.0007241000,98225.1620000000
24,0.0006586000,98154.0380000000
25,0.0005985000,98089.3930000000
26,0.0005478000,98030.6870000000
27,0.0005084000,97976.9860000000
28,0.0004809000,97927.1740000000
29,0.0004646000,97880.0810000000
30,0.0004583000,97834.6060000000
31,0.0004614000,97789.7680000000
32,0.0004741000,97744.6480000000
33,0.0004973000,97698.3070000000
34,0.0005314000,97649.7220000000
35,0.0005751000,97597.8310000000
36,0.0006255000,97541.7020000000
37,0.0006797000,97480.6900000000
38,0.0007361000,97414.4320000000
39,0.0007958000,97342.7260000000
40,0.0008618000,97265.2600000000
41,0.0009383000,97181.4370000000
42,0.0010291000,97090.2520000000
43,0.0011360000,96990.3360000000
44,0.0012585000,96880.1550000000
45,0.0013949000,96758.2310000000
46,0.0015444000,96623.2630000000
47,0.0017099000,96474.0380000000
48,0.0018961000,96309.0770000000
49,0.0021079000,96126.4660000000
50,0.0023467000,95923.8410000000
51,0.0026094000,95698.7360000000
52,0.0028907000,95449.0200000000
53,0.0031872000,95173.1060000000
54,0.0035024000,94869.7700000000
55,0.0038455000,94537.4980000000
56,0.0042255000,94173.9540000000
57,0.0046439000,93776.0220000000
58,0.0050922000,93340.5360000000
59,0.0055558000,92865.2270000000
60,0.0060186000,92349.2860000000
61,0.0064713000,91793.4730000000
62,0.0069176000,91199.4500000000
63,0.0073751000,90568.5680000000
64,0.0078719000,89900.6160000000
65,0.0084460000,89192.9270000000
66,0.0091420000,88439.6040000000
67,0.0100047000,87631.0890000000
68,0.0110735000,86754.3660000000
69,0.0123802000,85793.6920000000
70,0.0139483000,84731.5490000000
71,0.0157944000,83549.6880000000
72,0.0179288000,82230.0710000000
73,0.0203568000,80755.7840000000
74,0.0230797000,79111.8550000000
75,0.0260970000,77285.9770000000
76,0.0294081000,75269.0450000000
77,0.0330124000,73055.5250000000
78,0.0369106000,70643.7870000000
79,0.0411066000,68036.2820000000
80,0.0456104000,65239.5420000000
81,0.0504400000,62263.9410000000
82,0.0556238000,59123.3470000000
83,0.0612020000,55834.6820000000
84,0.0672275000,52417.4880000000
85,0.0737664000,48893.5910000000
86,0.0808975000,45286.8870000000
87,0.0887121000,41623.2910000000
88,0.0973126000,37930.8020000000
89,0.1068111000,34239.6570000000
90,0.1173277000,30582.4810000000
91,0.1289887000,26994.3090000000
92,0.1419241000,23512.3480000000
93,0.1562658000,20175.3790000000
94,0.1721449000,17022.6580000000
95,0.1896901000,14092.2940000000
96,0.2090256000,11419.1250000000
97,0.2302699000,9032.2360000000
98,0.2535346000,6952.3840000000
99,0.2789231000,5189.7140000000
100,0.3065304000,3742.1830000000
101,0.3364428000,2595.0900000000
102,0.3687373000,1721.9910000000
103,0.4034822000,1087.0280000000
104,0.4407366000,648.4320000000
105,0.4805506000,362.6440000000
106,0.5229664000,188.3750000000
107,0.5680181000,89.8610000000
108,0.6157327000,38.8180000000
109,0.6661310000,14.9170000000
110,0.7192282000,4.9800000000
111,0.7750348000,1.3980000000
112,0.8335576000,0.3150000000
113,0.8948004000,0.0520000000
114,0.9587649000,0.0060000000
115,0.9957139000,0.0000000000
116,1.0000000000,0.0000000000
117,1.0000000000,0.0000000000
118,1.0000000000,0.0000000000
119,1.0000000000,0.0000000000
120,1.0000000000,0.0000000000
121,1.0000000000,0.0000000000
122,1.0000000000,0.0000000000
123,1.0000000000,0.0000000000
124,1.0000000000,0.0000000000
125,1.0000000000,0.0000000000
126,1.0000000000,0.0000000000
127,1.0000000000,0.0000000000
