age,qx,lx
0,0.0041720000,100000.0000000000
1,0.0003501000,99582.8000000000
2,0.0003136000,99547.9360000000
3,0.0002860000,99516.7180000000
4,0.0002668000,99488.2560000000
5,0.0002552000,99461.7130000000
6,0.0002502000,99436.3300000000
7,0.0002513000,99411.4510000000
8,0.0002577000,99386.4690000000
9,0.0002690000,99360.8570000000
10,0.0002844000,99334.1290000000
11,0.0003035000,99305.8780000000
12,0.0003258000,99275.7390000000
13,0.0003503000,99243.3950000000
14,0.0003749000,99208.6300000000
15,0.0003973000,99171.4370000000
16,0.0004152000,99132.0360000000
17,0.0004266000,99090.8760000000
18,0.0004296000,99048.6040000000
19,0.0004233000,99006.0530000000
20,0.0004075000,98964.1440000000
21,0.0003831000,98923.8160000000
22,0.0003520000,98885.9180000000
23,0.0003170000,98851.1100000000
24,0.0002814000,98819.7740000000
25,0.0002487000,98791.9660000000
26,0.0002212000,98767.3970000000
27,0.0002004000,98745.5490000000
28,0.0001876000,98725.7610000000
29,0.0001834000,98707.2400000000
30,0.0001876000,98689.1370000000
31,0.0001991000,98670.6230000000
32,0.0002162000,98650.9780000000
33,0.0002367000,98629.6490000000
34,0.0002595000,98606.3040000000
35,0.0002856000,98580.7150000000
36,0.0003178000,98552.5610000000
37,0.0003602000,98521.2410000000
38,0.0004155000,98485.7530000000
39,0.0004829000,98444.8320000000
40,0.0005590000,98397.2930000000
41,0.0006393000,98342.2890000000
42,0.0007203000,98279.4190000000
43,0.0008006000,98208.6280000000
44,0.0008805000,98130.0030000000
45,0.0009617000,98043.5990000000
46,0.0010457000,97949.3110000000
47,0.0011356000,97846.8850000000
48,0.0012356000,97735.7700000000
49,0.0013505000,97615.0080000000
50,0.0014852000,97483.1790000000
51,0.0016441000,97338.3970000000
52,0.0018298000,97178.3630000000
53,0.0020413000,97000.5460000000
54,0.0022741000,96802.5380000000
55,0.0025233000,96582.4000000000
56,0.0027834000,96338.6930000000
57,0.0030477000,96070.5440000000
58,0.0033078000,95777.7500000000
59,0.0035561000,95460.9360000000
60,0.0037887000,95121.4680000000
61,0.0040089000,94761.0810000000
62,0.0042285000,94381.1930000000
63,0.0044637000,93982.1030000000
64,0.0047300000,93562.5950000000
65,0.0050398000,93120.0440000000
66,0.0054032000,92650.7370000000
67,0.0058288000,92150.1270000000
68,0.0063264000,91613.0020000000
69,0.0069089000,91033.4220000000
70,0.0075945000,90404.4810000000
71,0.0084105000,89717.9040000000
72,0.0093939000,88963.3320000000
73,0.0105904000,88127.6190000000
74,0.0120521000,87194.3120000000
75,0.0138361000,86143.4380000000
76,0.0160023000,84951.5480000000
77,0.0186114000,83592.1280000000
78,0.0217221000,82036.3620000000
79,0.0253889000,80254.3600000000
80,0.0296602000,78216.7900000000
81,0.0345794000,75896.8640000000
82,0.0401856000,73272.3960000000
83,0.0465153000,70327.9010000000
84,0.0536032000,67056.5770000000
85,0.0614846000,63462.1300000000
86,0.0701972000,59560.1870000000
87,0.0797827000,55379.2280000000
88,0.0902858000,50960.9240000000
89,0.1017538000,46359.8760000000
90,0.1142358000,41642.5830000000
91,0.1277825000,36885.5090000000
92,0.1424459000,32172.1860000000
93,0.1582789000,27589.3900000000
94,0.1753344000,23222.5720000000
95,0.1936646000,19150.8560000000
96,0.2133204000,15442.0130000000
97,0.2343511000,12147.9170000000
98,0.2568036000,9301.0390000000
99,0.2807222000,6912.4990000000
100,0.3061481000,4972.0070000000
101,0.3331191000,3449.8360000000
102,0.3616692000,2300.6300000000
103,0.3918290000,1468.5630000000
104,0.4236254000,893.1370000000
105,0.4570816000,514.7820000000
106,0.4922176000,279.4840000000
107,0.5290501000,141.9170000000
108,0.5675928000,66.8360000000
109,0.6078570000,28.9000000000
110,0.6498515000,11.3330000000
111,0.6935831000,3.9680000000
112,0.7390567000,1.2160000000
113,0.7862758000,0.3170000000
114,0.8352427000,0.0680000000
115,0.8859584000,0.0110000000
116,0.9384237000,0.0010000000
117,0.9825469000,0.0000000000
118,1.0000000000,0.0000000000
119,1.0000000000,0.0000000000
120,1.0000000000,0.0000000000
121,1.0000000000,0.0000000000
122,1.0000000000,0.0000000000
123,1.0000000000,0.0000000000
124,1.0000000000,0.0000000000
125,1.0000000000,0.0000000000
126,1.0000000000,0.0000000000
127,1.0000000000,0.0000000000
